Postcode,Month,Capacity (kW)
2604,2016-09,22
2604,2016-10,8
2604,2016-11,5
2604,2016-12,10
2604,2017-01,3
2604,2017-02,3
2604,2017-03,0
2604,2017-04,10
2604,2017-05,7
2604,2017-06,4
2604,2017-07,9
2604,2017-08,4
2604,2017-09,0
2604,2017-10,25
2604,2017-11,0
2604,2017-12,133
2604,2018-01,20
2604,2018-02,14
2604,2018-03,10
2604,2018-04,10
2604,2018-05,63
2604,2018-06,80
2604,2018-07,30
2604,2018-08,6
2604,2018-09,11
2604,2018-10,84
2604,2018-11,26
2604,2018-12,148
2604,2019-01,30
2604,2019-02,19
2604,2019-03,58
2604,2019-04,35
2604,2019-05,59
2604,2019-06,35
2604,2019-07,10
2604,2019-08,10
2604,2019-09,65
2604,2019-10,37
2604,2019-11,186
2604,2019-12,263
2604,2020-01,12
2604,2020-02,26
2604,2020-03,12
2604,2020-04,18
2604,2020-05,70
2604,2020-06,23
2604,2020-07,33
2604,2020-08,11
2604,2020-09,24
2604,2020-10,29
2604,2020-11,144
2604,2020-12,83
2604,2021-01,8
2604,2021-02,156
2604,2021-03,26
2604,2021-04,123
2604,2021-05,26
2604,2021-06,38
2604,2021-07,43
2604,2021-08,8
2604,2021-09,47
2604,2021-10,19
2604,2021-11,115
2604,2021-12,187
2604,2022-01,65
2604,2022-02,26
2604,2022-03,90
2604,2022-04,56
2604,2022-05,317
2604,2022-06,246
2604,2022-07,162
2604,2022-08,30
2604,2022-09,90
2604,2022-10,68
2604,2022-11,198
2604,2022-12,90
2604,2023-01,22
2604,2023-02,95
2604,2023-03,88
2604,2023-04,76
2604,2023-05,89
2604,2023-06,76
2604,2023-07,70
2604,2023-08,80
2604,2023-09,82
2604,2023-10,72
2604,2023-11,131
2604,2023-12,76
2604,2024-01,59
2604,2024-02,68
2604,2024-03,29
2604,2024-04,30
2604,2024-05,116
2604,2024-06,39
2604,2024-07,47
2604,2024-08,117
2604,2024-09,46
2604,2024-10,36
2604,2024-11,45
2604,2024-12,144
2604,2025-01,16
2604,2025-02,32
2604,2025-03,65
2604,2025-04,29
2604,2025-05,85
2604,2025-06,94
2604,2025-07,41
2604,2025-08,60
2604,2025-09,47
2604,2025-10,54
2604,2025-11,73
2604,2025-12,28
2605,2007-01,0
2605,2007-02,0
2605,2007-03,0
2605,2007-04,0
2605,2007-05,0
2605,2007-06,0
2605,2007-07,2
2605,2007-08,0
2605,2007-09,0
2605,2007-10,0
2605,2007-11,0
2605,2007-12,1
2605,2008-01,3
2605,2008-02,0
2605,2008-03,0
2605,2008-04,0
2605,2008-05,0
2605,2008-06,1
2605,2008-07,2
2605,2008-08,3
2605,2008-09,4
2605,2008-10,1
2605,2008-11,2
2605,2008-12,9
2605,2009-01,0
2605,2009-02,5
2605,2009-03,6
2605,2009-04,4
2605,2009-05,0
2605,2009-06,5
2605,2009-07,2
2605,2009-08,6
2605,2009-09,11
2605,2009-10,7
2605,2009-11,8
2605,2009-12,19
2605,2010-01,16
2605,2010-02,13
2605,2010-03,20
2605,2010-04,16
2605,2010-05,30
2605,2010-06,41
2605,2010-07,11
2605,2010-08,21
2605,2010-09,8
2605,2010-10,5
2605,2010-11,16
2605,2010-12,26
2605,2011-01,41
2605,2011-02,26
2605,2011-03,41
2605,2011-04,67
2605,2011-05,110
2605,2011-06,220
2605,2011-07,38
2605,2011-08,22
2605,2011-09,9
2605,2011-10,22
2605,2011-11,4
2605,2011-12,6
2605,2012-01,3
2605,2012-02,2
2605,2012-03,8
2605,2012-04,2
2605,2012-05,13
2605,2012-06,18
2605,2012-07,9
2605,2012-08,4
2605,2012-09,0
2605,2012-10,10
2605,2012-11,0
2605,2012-12,18
2605,2013-01,3
2605,2013-02,13
2605,2013-03,11
2605,2013-04,8
2605,2013-05,35
2605,2013-06,7
2605,2013-07,22
2605,2013-08,61
2605,2013-09,55
2605,2013-10,10
2605,2013-11,14
2605,2013-12,0
2605,2014-01,5
2605,2014-02,2
2605,2014-03,0
2605,2014-04,11
2605,2014-05,19
2605,2014-06,4
2605,2014-07,14
2605,2014-08,8
2605,2014-09,11
2605,2014-10,36
2605,2014-11,21
2605,2014-12,7
2605,2015-01,15
2605,2015-02,14
2605,2015-03,4
2605,2015-04,8
2605,2015-05,20
2605,2015-06,9
2605,2015-07,5
2605,2015-08,11
2605,2015-09,9
2605,2015-10,9
2605,2015-11,10
2605,2015-12,13
2605,2016-01,3
2605,2016-02,0
2605,2016-03,8
2605,2016-04,100
2605,2016-05,5
2605,2016-06,23
2605,2016-07,12
2605,2016-08,16
2605,2016-09,19
2605,2016-10,15
2605,2016-11,490
2605,2016-12,15
2605,2017-01,19
2605,2017-02,10
2605,2017-03,41
2605,2017-04,56
2605,2017-05,23
2605,2017-06,51
2605,2017-07,30
2605,2017-08,11
2605,2017-09,32
2605,2017-10,34
2605,2017-11,47
2605,2017-12,36
2605,2018-01,41
2605,2018-02,47
2605,2018-03,49
2605,2018-04,28
2605,2018-05,41
2605,2018-06,13
2605,2018-07,51
2605,2018-08,45
2605,2018-09,36
2605,2018-10,35
2605,2018-11,68
2605,2018-12,39
2605,2019-01,36
2605,2019-02,60
2605,2019-03,36
2605,2019-04,52
2605,2019-05,76
2605,2019-06,69
2605,2019-07,20
2605,2019-08,55
2605,2019-09,71
2605,2019-10,176
2605,2019-11,174
2605,2019-12,83
2605,2020-01,70
2605,2020-02,128
2605,2020-03,74
2605,2020-04,96
2605,2020-05,34
2605,2020-06,37
2605,2020-07,115
2605,2020-08,63
2605,2020-09,63
2605,2020-10,60
2605,2020-11,82
2605,2020-12,48
2605,2021-01,106
2605,2021-02,102
2605,2021-03,95
2605,2021-04,87
2605,2021-05,147
2605,2021-06,113
2605,2021-07,218
2605,2021-08,23
2605,2021-09,88
2605,2021-10,175
2605,2021-11,147
2605,2021-12,102
2605,2022-01,76
2605,2022-02,134
2605,2022-03,182
2605,2022-04,71
2605,2022-05,175
2605,2022-06,157
2605,2022-07,151
2605,2022-08,131
2605,2022-09,227
2605,2022-10,250
2605,2022-11,203
2605,2022-12,245
2605,2023-01,165
2605,2023-02,225
2605,2023-03,163
2605,2023-04,141
2605,2023-05,165
2605,2023-06,196
2605,2023-07,146
2605,2023-08,116
2605,2023-09,125
2605,2023-10,176
2605,2023-11,67
2605,2023-12,170
2605,2024-01,106
2605,2024-02,142
2605,2024-03,101
2605,2024-04,87
2605,2024-05,48
2605,2024-06,46
2605,2024-07,77
2605,2024-08,39
2605,2024-09,95
2605,2024-10,70
2605,2024-11,91
2605,2024-12,54
2605,2025-01,57
2605,2025-02,70
2605,2025-03,73
2605,2025-04,114
2605,2025-05,77
2605,2025-06,77
2605,2025-07,55
2605,2025-08,51
2605,2025-09,97
2605,2025-10,97
2605,2025-11,119
2605,2025-12,42
2606,2007-01,0
2606,2007-02,0
2606,2007-03,0
2606,2007-04,0
2606,2007-05,0
2606,2007-06,0
2606,2007-07,0
2606,2007-08,6
2606,2007-09,0
2606,2007-10,0
2606,2007-11,2
2606,2007-12,0
2606,2008-01,0
2606,2008-02,0
2606,2008-03,0
2606,2008-04,0
2606,2008-05,0
2606,2008-06,0
2606,2008-07,2
2606,2008-08,0
